candidate_id,rank,score,reasoning
CAND_0041610,1,0.766513,"Strong fit: 7yr exp, strong skill match (Elasticsearch, OpenSearch); shipped Recommendation Systems Engineer at Zoho. Available in 30d; open to relocating from indore, madhya pradesh."
CAND_0066999,2,0.747189,"Strong fit: 6yr exp, strong skill match (LLMs, FAISS); shipped Recommendation Systems Engineer at Microsoft. Available in 15d; based in delhi, delhi."
CAND_0030468,3,0.719168,"Strong fit: 5yr exp, strong skill match (OpenSearch, Milvus); shipped Senior Applied Scientist at Swiggy. Open to relocating from indore, madhya pradesh."
CAND_0041669,4,0.706109,"Strong fit: 8yr exp, strong skill match (Semantic Search, Milvus); shipped Recommendation Systems Engineer at CRED. Based in noida, uttar pradesh."
CAND_0016163,5,0.589305,"Strong fit: 7yr exp, strong skill match (Weaviate, Embeddings); shipped Applied ML Engineer at Dream11. Long notice period (120d) is a risk; based in gurgaon, haryana."
CAND_0005260,6,0.579859,"Strong fit: 5yr exp, strong skill match (Embeddings, NLP); shipped Senior NLP Engineer at Netflix. Open to relocating from chennai, tamil nadu."
CAND_0006567,7,0.566971,"Strong fit: 8yr exp, strong skill match (BM25, Python); shipped Senior AI Engineer at Meta. Based in noida, uttar pradesh."
CAND_0083852,8,0.526937,"Strong fit: 6yr exp, strong skill match (Pinecone, Sentence Transformers); shipped Data Scientist at Mad Street Den. Open to relocating from ahmedabad, gujarat."
CAND_0098454,9,0.504291,"Strong fit: 7yr exp with relevant background (Weaviate); shipped AI Specialist at Meesho. Open to relocating from indore, madhya pradesh."
CAND_0042506,10,0.497361,"Strong fit: 4yr exp, strong skill match (Information Retrieval, NLP); shipped Search Engineer at Verloop.io. Available in 15d; based in mumbai, maharashtra."
CAND_0070525,11,0.4908,"Good fit: 5yr exp with relevant background (Recommendation Systems); shipped Senior Software Engineer (ML) at Mad Street Den. Based in hyderabad, telangana."
CAND_0068932,12,0.487566,"Good fit: 5yr exp with relevant background (OpenSearch); shipped ML Engineer at Krutrim. Active on platform, 82% response rate; available in 30d; based in noida, uttar pradesh."
CAND_0033179,13,0.479358,"Good fit: 7yr exp with relevant background (Information Retrieval); shipped AI Research Engineer at Wipro. Available in 30d; open to relocating from ahmedabad, gujarat."
CAND_0053605,14,0.477483,"Good fit: 7yr exp with relevant background (RAG); shipped Senior Software Engineer (ML) at Verloop.io. Available in 30d; based in noida, uttar pradesh."
CAND_0010541,15,0.473871,"Good fit: 6yr exp, strong skill match (Weaviate, Pinecone); shipped AI Research Engineer at Wysa. Based in hyderabad, telangana."
CAND_0060054,16,0.470905,"Good fit: 6yr exp, strong skill match (Recommendation Systems, Semantic Search); shipped AI Engineer at Mad Street Den. Available in 15d; open to relocating from jaipur, rajasthan."
CAND_0008295,17,0.470551,"Good fit: 6yr exp with relevant background (BM25); shipped AI Research Engineer at Razorpay. Based in pune, maharashtra."
CAND_0060257,18,0.463997,"Good fit: 6yr exp, strong skill match (OpenSearch, Recommendation Systems); shipped AI Specialist at Paytm. Based in gurgaon, haryana."
CAND_0082086,19,0.463819,"Good fit: 6yr exp with relevant background (FAISS); shipped Senior Software Engineer (ML) at Razorpay. Based in delhi, delhi."
CAND_0046353,20,0.454178,"Good fit: 6yr exp with relevant background (NLP); shipped ML Engineer at Razorpay. Long notice period (120d) is a risk; based in gurgaon, haryana."
CAND_0037160,21,0.452753,"Good fit: 6yr exp with relevant background (Weaviate); shipped Data Scientist at Haptik. Available in 30d; based in mumbai, maharashtra."
CAND_0038949,22,0.450678,"Good fit: 6yr exp, strong skill match (NLP, Milvus); shipped ML Engineer at CRED. Long notice period (120d) is a risk; open to relocating from bhubaneswar, odisha."
CAND_0017590,23,0.450258,"Good fit: 5yr exp, strong skill match (NLP, Sentence Transformers); shipped AI Research Engineer at Genpact AI. Open to relocating from kolkata, west bengal."
CAND_0060072,24,0.449738,"Good fit: 6yr exp, strong skill match (BM25, Pinecone); shipped Staff Machine Learning Engineer at Amazon. Concern: low recruiter response rate (10%); open to relocating from indore, madhya pradesh."
CAND_0004402,25,0.448034,"Good fit: 6yr exp with relevant background (Computer Vision); shipped AI Research Engineer at Yellow.ai. Based in delhi, delhi."
CAND_0072688,26,0.446413,"Good fit: 7yr exp with relevant background (Recommendation Systems); shipped Data Scientist at Niramai. Based in pune, maharashtra."
CAND_0043860,27,0.446118,"Good fit: 6yr exp with relevant background (Semantic Search); shipped Junior ML Engineer at Aganitha. Available in 30d; open to relocating from bhubaneswar, odisha."
CAND_0007411,28,0.444105,"Good fit: 8yr exp, strong skill match (OpenSearch, BM25); shipped Senior Machine Learning Engineer at Amazon. Concern: low recruiter response rate (12%); available in 15d; open to relocating from kochi, kerala."
CAND_0007052,29,0.441792,"Good fit: 6yr exp, strong skill match (Elasticsearch, RAG); shipped ML Engineer at Unacademy. Based in pune, maharashtra."
CAND_0061257,30,0.438921,"Good fit: 8yr exp with relevant background (Python); shipped Staff Machine Learning Engineer at LinkedIn. Available in 30d; based in noida, uttar pradesh."
CAND_0083879,31,0.436088,"Moderate fit: 7yr exp with relevant background (Fine-tuning LLMs); shipped Machine Learning Engineer at Ola. Available in 30d; based in noida, uttar pradesh."
CAND_0098952,32,0.436049,"Moderate fit: 6yr exp with relevant background (Recommendation Systems); shipped AI Research Engineer at CRED. Based in gurgaon, haryana."
CAND_0092255,33,0.431397,"Moderate fit: 5yr exp, strong skill match (RAG, OpenSearch); shipped ML Engineer at InMobi. Based in noida, uttar pradesh."
CAND_0020954,34,0.430773,"Moderate fit: 7yr exp with relevant background (Computer Vision); shipped Senior Software Engineer at Swiggy. Based in pune, maharashtra."
CAND_0093763,35,0.428972,"Moderate fit: 5yr exp with relevant background (Sentence Transformers); shipped Senior Software Engineer (ML) at Swiggy. Based in noida, uttar pradesh."
CAND_0043318,36,0.428537,Moderate fit: 6yr exp with relevant background (RAG); shipped Data Scientist at Freshworks. Long notice period (120d) is a risk; open to relocating from sydney.
